,ML,Data,Dev
0,1,3,2
1,2,4,3
2,3,4,2
3,1,1,2
4,1,2,1
5,4,6,6
6,0,0,0
7,1,1,2
8,5,4,3
9,2,4,3
10,2,3,3
11,1,3,1
12,3,4,2
13,2,5,3
14,3,2,7
15,6,6,5
16,2,2,2
17,6,6,4
18,3,3,4
19,6,6,2
20,2,5,2
21,4,4,2
22,3,3,3
23,3,6,4
24,2,3,3
25,4,4,2
26,2,2,1
27,1,1,1
28,0,0,0
29,0,0,0
30,5,4,4
31,0,0,0
32,5,5,2
33,0,0,0
34,1,1,1
35,1,1,2
36,1,2,2
37,1,1,2
38,3,6,3
39,3,2,3
40,0,0,0
41,1,1,2
42,1,1,2
43,4,3,4
44,1,2,3
45,0,0,0
46,4,5,4
47,2,2,2
48,2,3,1
49,5,6,4
50,4,2,4
51,1,1,1
52,2,4,3
53,3,4,1
54,6,7,5
55,3,4,2
56,4,7,4
57,3,3,3
58,1,3,2
59,1,1,2
60,2,2,2
61,0,0,0
62,2,2,1
63,2,5,5
64,2,2,3
65,3,3,2
66,2,3,4
67,2,2,3
68,2,2,5
69,0,0,1
70,2,4,3
71,0,0,0
72,1,1,2
73,3,6,4
74,2,2,3
75,2,1,2
76,1,1,1
77,6,5,3
78,0,0,0
79,3,4,3
80,1,1,2
81,5,3,5
82,2,3,2
83,0,0,0
84,3,4,4
85,4,4,2
86,0,0,0
87,3,5,3
88,2,3,2
89,3,2,3
90,6,6,2
91,1,2,3
92,2,2,2
93,0,0,0
94,6,5,3
95,1,1,1
96,1,2,2
97,6,5,2
98,0,0,0
99,3,4,3
100,1,1,2
101,6,5,3
102,3,3,5
103,3,4,1
104,1,3,2
105,4,4,1
106,1,2,2
107,1,1,2
108,3,6,4
109,1,3,2
110,7,7,5
111,4,7,5
112,2,3,2
113,3,5,3
114,5,4,2
115,3,3,4
116,0,0,0
117,0,0,0
118,3,3,2
119,1,1,1
120,4,4,4
121,3,5,5
122,5,6,5
123,1,3,2
124,2,3,1
125,4,5,3
126,3,5,3
127,1,3,1
128,2,3,3
129,0,0,0
130,6,6,3
131,5,4,4
132,1,1,2
133,0,0,2
134,3,6,1
135,3,5,6
136,5,4,2
137,1,1,0
138,2,4,1
139,3,4,2
140,0,0,0
141,1,1,2
142,1,1,2
143,0,1,1
144,4,4,5
145,5,6,3
146,0,0,0
147,2,2,2
148,0,0,0
149,2,2,4
150,1,1,2
151,5,5,2
152,1,2,2
153,1,3,2
154,1,1,2
155,3,4,3
156,6,6,6
157,5,5,2
158,0,0,0
159,4,4,1
160,1,2,3
161,6,6,4
162,1,1,2
163,1,1,4
164,0,0,0
165,2,3,3
166,2,2,2
167,1,1,3
168,0,0,0
169,1,1,3
170,4,4,4
171,1,1,3
172,3,5,2
173,2,4,3
174,0,0,0
175,2,2,2
176,0,0,1
177,1,1,1
178,2,4,2
179,1,3,1
180,4,5,5
181,2,2,1
182,0,0,0
183,2,4,2
184,2,4,2
185,1,3,4
186,2,2,2
187,1,3,4
188,1,1,1
189,2,2,3
190,0,0,0
191,0,0,0
192,2,3,3
193,1,1,5
194,1,1,3
195,5,4,2
196,1,1,3
197,1,2,3
198,0,0,0
199,4,6,3
200,1,2,3
201,0,0,0
202,4,6,3
203,1,1,2
204,1,3,1
205,1,1,0
206,2,3,3
207,1,1,2
208,1,1,1
209,2,4,3
210,2,2,3
211,1,1,2
212,1,2,2
213,3,4,4
214,2,4,1
215,4,6,3
216,2,2,3
217,2,3,3
218,0,0,0
219,1,1,2
220,2,2,2
221,0,0,0
222,1,1,3
223,0,0,0
224,1,2,3
225,4,5,3
226,1,1,4
227,5,5,5
228,3,4,3
229,5,6,3
230,3,4,2
231,2,2,2
232,1,1,3
233,7,6,4
234,0,0,2
235,6,6,2
236,7,6,4
237,1,1,1
238,0,0,0
239,1,1,3
240,6,7,4
241,2,3,3
242,0,0,0
243,3,3,1
244,3,5,5
245,2,4,3
246,4,5,6
247,1,1,2
248,2,3,3
